State,District,Latitude,Longitude,District code,Population,Households_with_Internet,literacy_rate,sex_ratio,Percentage of Poor
Uttar Pradesh,Baghpat,29.045793499999988,77.30266300000001,139.0,1303048.0,2989.0,61.0,861.0,0.0
Uttar Pradesh,Bahraich,27.691776300578027,81.46779783237004,180.0,3487731.0,2681.0,40.0,892.0,36.557113
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457.0,1701698.0,1712.0,67.0,1021.0,0.0
Orissa,Baleshwar,21.48570932311624,87.08085828011933,377.0,2320529.0,7370.0,70.0,957.0,0.0
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,193.0,3239774.0,4672.0,61.0,937.0,0.0
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,182.0,2148665.0,1551.0,40.0,928.0,34.95039
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469.0,3120506.0,3424.0,55.0,938.0,0.0
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,170.0,1799410.0,1655.0,56.0,863.0,0.0
Karnataka,Bangalore Rural,12.936827087794448,77.47369314775169,583.0,990923.0,3729.0,70.0,946.0,0.0
Bihar,Banka,24.832355642023337,86.8664916342413,225.0,2034763.0,1704.0,47.0,907.0,0.0
West Bengal,Bankura,23.081280892857155,87.12640053571437,339.0,3596674.0,4273.0,62.0,957.0,15.132759
Rajasthan,Banswara,23.45364203296701,74.44246868131869,125.0,1797485.0,2324.0,46.0,980.0,27.03509
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,176.0,3260699.0,3159.0,52.0,910.0,0.0
Rajasthan,Baran,24.98023243243244,76.86210651828291,128.0,1222755.0,1363.0,57.0,929.0,0.0
West Bengal,Barddhaman,23.444453888888884,87.8150581111111,335.0,7717563.0,32323.0,68.0,945.0,0.0
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,150.0,4448359.0,15164.0,49.0,887.0,0.0
Rajasthan,Barmer,25.77070908045978,71.50297126436782,115.0,2603751.0,2766.0,46.0,902.0,28.6683
Assam,Barpeta,26.427872264631056,90.97912010178116,303.0,1693622.0,2078.0,53.0,953.0,0.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441.0,1385881.0,1158.0,40.0,982.0,34.756783
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414.0,1413199.0,1782.0,46.0,1023.0,26.87057
Uttar Pradesh,Basti,26.833880454545447,82.69790590909092,185.0,2464464.0,3423.0,57.0,963.0,0.0
Punjab,Bathinda,30.190524611973352,75.05685898004438,46.0,1388525.0,11284.0,61.0,868.0,0.0
Bihar,Begusarai,25.54302613168723,86.12560144032932,222.0,2970541.0,4644.0,52.0,895.0,0.0
Karnataka,Belgaum,16.16107219152853,74.72329042357275,555.0,4779661.0,17560.0,64.0,973.0,0.0
Karnataka,Bellary,15.074377548209377,76.47228471074374,565.0,2452595.0,9626.0,58.0,983.0,12.334306
Madhya Pradesh,Betul,21.96462631578948,77.7873428189117,447.0,1575362.0,2109.0,60.0,971.0,0.0
Orissa,Bhadrak,20.95262735257214,86.81496204516931,378.0,1506337.0,2637.0,73.0,981.0,0.0
Bihar,Bhagalpur,25.27719288537548,87.04213814229242,224.0,3037766.0,6764.0,52.0,880.0,0.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506.0,1200334.0,2932.0,75.0,982.0,0.0
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,105.0,2548462.0,4179.0,58.0,880.0,0.0
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488.0,1551019.0,10257.0,72.0,925.0,0.0
